ts_ms,event,x,y,heading,fx,fy,ang_z,enc1,enc2,tof_izq,tof_cen,tof_der,corr_pid,run_phase,extra
0,BOOT,0,15,0,0.000,15.000,0.00,0,0,350,350,350,2.3,0,algo=A* (A-Star)
1,FWD,0,14,0,0.000,15.000,0.00,1372,695,350,350,350,-4.9,0,
362,SAMPLE,0,14,0,0.000,14.584,0.00,1372,695,350,350,350,-5.3,0,
677,FWD,0,13,0,0.000,14.000,0.00,2734,1379,350,350,350,-4.3,0,
1043,SAMPLE,0,13,0,0.000,13.581,0.00,2734,1379,350,350,350,-7.6,0,
1354,FWD,0,12,0,0.000,13.000,0.00,4109,2065,350,350,350,-2.6,0,
1710,SAMPLE,0,12,0,0.000,12.591,0.00,4109,2065,350,350,350,-6.5,0,
2025,FWD,0,11,0,0.000,12.000,0.00,5502,2752,350,350,350,-1.3,0,
2385,SAMPLE,0,11,0,0.000,11.587,0.00,5502,2752,350,350,350,-1.6,0,
2751,SAMPLE,0,11,0,0.000,11.303,0.00,5502,2752,350,350,350,-0.3,0,
3111,SAMPLE,0,11,0,0.000,11.132,0.00,5502,2752,350,350,350,-1.6,0,
3475,SAMPLE,0,11,0,0.000,11.041,0.00,5502,2752,350,350,350,-4.2,0,
3838,SAMPLE,0,11,0,0.000,11.006,0.00,5502,2752,350,350,350,-2.0,0,
4203,SAMPLE,0,11,0,0.000,11.000,0.00,5502,2752,350,350,350,-2.8,0,
4251,TURN_R,0,11,1,0.000,11.000,0.00,6366,2320,350,350,350,35.0,0,
4616,SAMPLE,0,11,1,0.000,11.000,15.38,6366,2320,350,350,350,35.0,0,
4981,SAMPLE,0,11,1,0.000,11.000,48.45,6366,2320,350,350,350,35.0,0,
5346,SAMPLE,0,11,1,0.000,11.000,79.62,6366,2320,350,350,350,35.0,0,
5644,FWD,1,11,1,0.000,11.000,90.00,7739,3004,350,350,350,0.1,0,
6008,SAMPLE,1,11,1,0.417,11.000,90.00,7739,3004,350,350,350,-1.1,0,
6322,FWD,2,11,1,1.000,11.000,90.00,9112,3691,350,350,350,1.0,0,
6681,SAMPLE,2,11,1,1.413,11.000,90.00,9112,3691,350,350,350,1.9,0,
6997,FWD,3,11,1,2.000,11.000,90.00,10491,4378,350,350,350,0.3,0,
7347,SAMPLE,3,11,1,2.403,11.000,90.00,10491,4378,350,350,350,1.9,0,
7697,SAMPLE,3,11,1,2.681,11.000,90.00,10491,4378,350,350,350,1.5,0,
8047,SAMPLE,3,11,1,2.855,11.000,90.00,10491,4378,350,350,350,2.0,0,
8410,SAMPLE,3,11,1,2.953,11.000,90.00,10491,4378,350,350,350,3.4,0,
8773,SAMPLE,3,11,1,2.992,11.000,90.00,10491,4378,350,350,350,5.3,0,
9139,SAMPLE,3,11,1,3.000,11.000,90.00,10491,4378,350,350,350,8.3,0,
9221,TURN_R,3,11,2,3.000,11.000,90.00,11355,3946,350,350,350,35.0,0,
