ts_ms,event,x,y,heading,ang_z,enc1,enc2,tof_izq,tof_cen,tof_der,extra
0,BOOT,0,9,1,90.0,0,0,350,350,350,
0,FWD,1,9,1,90.0,1364,684,41,273,89,
2220,TURN_L,1,9,0,90.0,500,1116,278,102,92,
3619,FWD,1,8,0,0.0,1875,1809,278,102,92,
5837,TURN_L,1,8,3,0.0,1011,2241,266,78,80,
7240,FWD,0,8,3,270.0,2379,2929,266,78,80,
9453,TURN_R,0,8,0,270.0,3243,2497,96,98,342,
10846,FWD,0,7,0,0.0,4615,3186,96,98,342,
11520,FWD,0,6,0,0.0,5990,3880,90,282,90,
13741,TURN_R,0,6,1,0.0,6854,3448,93,81,336,
15139,FWD,1,6,1,90.0,8229,4134,93,81,336,
15812,FWD,2,6,1,90.0,9595,4824,97,350,114,
16486,FWD,3,6,1,90.0,10975,5503,96,263,88,
18701,TURN_R,3,6,2,90.0,11839,5071,81,91,262,
20097,FWD,3,7,2,180.0,13221,5766,81,91,262,
22315,TURN_L,3,7,1,180.0,12357,6198,263,93,105,
23705,FWD,4,7,1,90.0,13729,6892,263,93,105,
25922,TURN_R,4,7,2,90.0,14593,6460,76,88,265,
27317,FWD,4,8,2,180.0,15973,7146,76,88,265,
29530,TURN_R,4,8,3,180.0,16837,6714,89,84,351,
30922,FWD,3,8,3,270.0,18215,7402,89,84,351,
31593,FWD,2,8,3,270.0,19586,8086,86,283,92,
33815,TURN_L,2,8,2,270.0,18722,8518,278,85,268,
35211,FWD,2,9,2,180.0,20088,9197,278,85,268,
37435,TURN_L,2,9,1,180.0,19224,9629,347,94,98,
38840,FWD,3,9,1,90.0,20590,10315,347,94,98,
39516,FWD,4,9,1,90.0,21974,11004,94,347,106,
40192,FWD,5,9,1,90.0,23354,11693,97,350,92,
40868,FWD,6,9,1,90.0,24722,12373,77,358,76,
41547,FWD,7,9,1,90.0,26092,13058,87,198,82,
43776,TURN_L,7,9,0,90.0,25228,13490,271,99,94,
45179,FWD,7,8,0,0.0,26594,14176,271,99,94,
47391,TURN_L,7,8,3,0.0,25730,14608,345,80,90,
48791,FWD,6,8,3,270.0,27095,15301,345,80,90,
49464,FWD,5,8,3,270.0,28474,15991,87,349,75,
51681,TURN_R,5,8,0,270.0,29338,15559,88,85,353,
53073,FWD,5,7,0,0.0,30706,16246,88,85,353,
53748,FWD,5,6,0,0.0,32082,16934,90,335,82,
54426,FWD,5,5,0,0.0,33458,17626,103,335,348,
54426,GOAL,5,5,0,0.0,33458,17626,103,335,348,
